Wahlbezirksnummer;Wahlbezirksname;Wahlberechtigte ohne Sperrvermerk;Anteil Wahlberechtigte ohne Sperrvermerk;Wahlberechtigte mit Sperrvermerk;Anteil Wahlberechtigte mit Sperrvermerk;Wahlberechtigte insgesamt;Anteil Wahlberechtigte insgesamt;Wähler;Anteil Wähler;darunter Wähler mit Wahlschein;Anteil darunter Wähler mit Wahlschein;ungültige Stimmen;Anteil ungültige Stimmen;gültige Stimmen;Anteil gültige Stimmen;CDU;Anteil CDU;SPD;Anteil SPD;GRÜNE;Anteil GRÜNE;DIE LINKE;Anteil DIE LINKE;AfD;Anteil AfD;FDP;Anteil FDP;PIRATEN;Anteil PIRATEN;NPD;Anteil NPD;FREIE WÄHLER;Anteil FREIE WÄHLER;Die PARTEI;Anteil Die PARTEI;BüSo;Anteil BüSo;MLPD;Anteil MLPD;BGE;Anteil BGE;DKP;Anteil DKP;DM;Anteil DM;ÖDP;Anteil ÖDP;Tierschutzpartei;Anteil Tierschutzpartei;V-Partei³;Anteil V-Partei³
01001;Stadthaus                          ;903;72,8;337;27,2;1240;100;643;71,2;5;0,8;1;0,2;642;100;143;22,3;129;20,1;101;15,7;96;15;47;7,3;96;15;2;0,3;0;0;2;0,3;9;1,4;0;0;0;0;4;0,6;0;0;1;0,2;3;0,5;6;0,9;3;0,5
01002;Stadthaus                          ;724;73,7;258;26,3;982;100;455;62,8;3;0,7;1;0,2;454;100;120;26,4;63;13,9;73;16,1;70;15,4;38;8,4;68;15;4;0,9;0;0;1;0,2;11;2,4;0;0;0;0;0;0;0;0;1;0,2;0;0;4;0,9;1;0,2
04001;Liebfrauenschule                   ;869;69,6;379;30,4;1248;100;531;61,1;4;0,8;7;1,3;524;100;128;24,4;86;16,4;77;14,7;69;13,2;42;8;97;18,5;3;0,6;3;0,6;0;0;10;1,9;0;0;0;0;0;0;0;0;3;0,6;3;0,6;2;0,4;1;0,2
07001;Julius-Leber-Schule                ;552;75,1;183;24,9;735;100;263;47,6;0;0;2;0,8;261;100;50;19,2;39;14,9;47;18;50;19,2;29;11,1;31;11,9;2;0,8;1;0,4;1;0,4;7;2,7;0;0;0;0;1;0,4;0;0;0;0;0;0;3;1,1;0;0
08001;Ludwig-Börne-Schule                ;842;71,4;337;28,6;1179;100;493;58,6;1;0,2;4;0,8;489;100;100;20,4;89;18,2;65;13,3;87;17,8;36;7,4;75;15,3;6;1,2;0;0;3;0,6;11;2,2;1;0,2;0;0;1;0,2;0;0;5;1;1;0,2;5;1;4;0,8
09001;Weißfrauenschule                   ;1013;70,2;429;29,8;1442;100;656;64,8;10;1,5;5;0,8;651;100;119;18,3;81;12,4;120;18,4;134;20,6;53;8,1;112;17,2;4;0,6;0;0;2;0,3;15;2,3;0;0;4;0,6;1;0,2;0;0;1;0,2;1;0,2;3;0,5;1;0,2
10001;Goethe-Gymnasium                   ;809;62,6;484;37,4;1293;100;652;80,6;9;1,4;4;0,6;648;100;208;32,1;78;12;88;13,6;34;5,2;40;6,2;190;29,3;0;0;0;0;2;0,3;5;0,8;0;0;0;0;1;0,2;0;0;0;0;0;0;2;0,3;0;0
10002;Bettinaschule                      ;819;65,4;433;34,6;1252;100;618;75,5;9;1,5;1;0,2;617;100;182;29,5;74;12;84;13,6;42;6,8;45;7,3;177;28,7;0;0;1;0,2;2;0,3;2;0,3;0;0;0;0;0;0;0;0;1;0,2;2;0,3;3;0,5;2;0,3
11001;Anna-Schmidt-Schule                ;635;61,8;392;38,2;1027;100;480;75,6;0;0;2;0,4;478;100;134;28;67;14;75;15,7;56;11,7;22;4,6;113;23,6;0;0;1;0,2;0;0;3;0,6;0;0;0;0;1;0,2;0;0;2;0,4;2;0,4;2;0,4;0;0
11002;Anna-Schmidt-Schule                ;633;64,5;349;35,5;982;100;498;78,7;2;0,4;3;0,6;495;100;131;26,5;86;17,4;87;17,6;37;7,5;39;7,9;106;21,4;3;0,6;0;0;1;0,2;3;0,6;0;0;0;0;1;0,2;0;0;0;0;0;0;1;0,2;0;0
12001;Musterschule                       ;757;67,4;366;32,6;1123;100;634;83,8;9;1,4;1;0,2;633;100;136;21,5;110;17,4;155;24,5;85;13,4;33;5,2;96;15,2;1;0,2;0;0;1;0,2;8;1,3;0;0;0;0;2;0,3;0;0;0;0;4;0,6;2;0,3;0;0
12002;Musterschule                       ;844;67,2;412;32,8;1256;100;695;82,3;7;1;8;1,2;687;100;171;24,9;88;12,8;169;24,6;102;14,8;20;2,9;105;15,3;4;0,6;1;0,1;1;0,1;12;1,7;0;0;1;0,1;2;0,3;0;0;1;0,1;1;0,1;6;0,9;3;0,4
12003;Haus der Volksarbeit               ;809;70,6;337;29,4;1146;100;622;76,9;7;1,1;4;0,6;618;100;153;24,8;117;18,9;129;20,9;79;12,8;32;5,2;93;15;2;0,3;1;0,2;1;0,2;3;0,5;0;0;0;0;0;0;0;0;2;0,3;0;0;5;0,8;1;0,2
12004;Musterschule                       ;628;63,8;357;36,2;985;100;492;78,3;6;1,2;2;0,4;490;100;97;19,8;84;17,1;115;23,5;76;15,5;23;4,7;89;18,2;1;0,2;0;0;1;0,2;2;0,4;0;0;0;0;0;0;0;0;0;0;0;0;1;0,2;1;0,2
13001;Klingerschule                      ;887;69;399;31;1286;100;687;77,5;3;0,4;4;0,6;683;100;136;19,9;133;19,5;155;22,7;105;15,4;26;3,8;94;13,8;5;0,7;1;0,1;2;0,3;15;2,2;1;0,1;0;0;2;0,3;1;0,1;1;0,1;2;0,3;3;0,4;1;0,1
13002;Klingerschule                      ;821;70,7;340;29,3;1161;100;634;77,2;2;0,3;2;0,3;632;100;132;20,9;105;16,6;123;19,5;116;18,4;43;6,8;79;12,5;3;0,5;1;0,2;3;0,5;11;1,7;0;0;3;0,5;2;0,3;0;0;1;0,2;3;0,5;6;0,9;1;0,2
